latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-34.4566,-178.3715,10,4.4
-41.1651,173.5564,88.94,4.6
-33.8515,-179.3723,35,4.5
-46.6436,166.1318,16.15,4.2
-30.7452,-177.926,24.42,5.2
-43.5109,172.8252,22.25,3.7
-39.3979,175.4863,84.18,4.9
-44.0459,170.26,10.15,3.6
-28.9112,-177.7711,76.82,4.7
-42.5977,173.4346,19.67,4
-30.1191,-178.0163,48,4.5
-38.2111,176.3834,171.18,4.3
-30.5662,-178.0701,35,6
-33.2313,178.8546,331.39,4
-29.186,-178.3694,13.12,4.6
-30.2566,-177.8405,38.87,5.1
-26.2323,178.665,635.55,4.6
-30.0394,-178.0222,73.17,4.4
-31.4426,-179.8124,328.66,4.5
-30.6993,-177.8358,35,4.6
-27.0911,-176.8791,40.85,4.3
-41.7552,174.3456,16.89,4.6
-33.0286,-178.2531,35,4.3
-30.2288,-177.5437,35,4.6
-33.2991,-178.5335,10,4.4
-33.2273,-178.4276,10,4.9
-29.7614,-179.13,327.98,4.9
-40.3776,176.6523,33.25,4.1
-41.6165,174.5125,25.62,4.3
-40.4767,176.9218,10,4.6
-32.6996,-179.8994,236.84,4.9
-39.0612,175.9459,99.07,4.6
-26.4085,179.5327,495.02,4.6
-37.8689,177.6709,10,4.7
-31.0114,-178.676,104.55,5.2
-31.6963,-178.5545,10,4.4
-31.4677,-177.9179,12.77,4.3
-32.6975,-178.2844,10,5.3
-32.8173,-178.2393,10,4.7
-34.2581,179.2485,131.76,4.1
-37.2466,179.0155,15.85,4.1
-32.1664,-178.6373,35,4.4
-30.5262,-177.5788,16,4.8
-30.2585,-176.9727,10,4.7
-30.2328,-176.922,10,5
-30.6676,-179.0379,237.63,4.2
-37.492,177.3721,10,4.3
-30.0213,-177.0543,10,4.5
-41.8138,174.1135,17.22,4.1
-29.9028,-179.4061,346.95,4.7
-38.1227,176.5914,10,4.3
-34.1833,-179.6997,10,4.4
-31.6382,-179.3752,93.66,4.2
-30.1223,-179.2094,329.77,4.5
-33.0391,-179.3984,10,5.6
-32.0865,-179.3016,97.8,5.1
-35.8161,178.0083,210.59,4.3
-41.2913,-179.1457,10,4.1
-32.9229,179.3642,317.49,4
-27.2067,-176.4698,35,5.2
-45.0447,167.3629,65.84,4
-32.3674,-179.0952,124.55,4.9
-31.7847,-178.6169,40.07,4.4
-30.3852,-178.9637,183.56,4.7
-40.0107,174.4552,120.36,4.3
-33.4777,-177.6325,10,4.3
-32.6625,-178.9905,47.3,4.7
-29.803,-177.5389,35,4.6
-40.4722,176.422,34.18,4.5
-30.383,-179.0147,226.35,5.5
-29.7771,-177.2715,35,4.6
-39.5623,174.3195,206.98,4.5
-35.7547,-179.4641,10,4.5
-30.9566,-179.3968,262.33,4.9
-30.2407,-177.6765,35,5.1
-34.5886,-178.4143,11,6.1
-31.9823,-179.9533,284.39,5.7
-31.8276,-178.6058,35,5.1
-32.6975,-178.608,35,4.5
-33.6291,-178.7292,10,4.5
-33.781,-179.4968,34,5.9
-38.5055,175.9244,167.76,4.5
-28.5295,-178.7769,280.54,4.2
-32.5415,-178.7127,35,4.6
-31.2468,179.6287,433.04,4
-32.5708,-178.4088,35,4.9
-41.5876,174.5456,10,4.2
-41.6952,174.1739,17.97,4.2
-30.4665,-178.0217,57.39,5
-33.1668,-179.0489,42.43,4.6
-42.3192,173.9413,17.92,4.5
-41.859,174.2397,12.55,4
-41.8193,174.242,17.05,4
-41.7971,174.2496,17.22,4.2
-33.4179,179.757,151.07,4.2
-37.8738,178.9339,29.73,4.6
-26.9505,-176.2586,35,4.5
-34.7563,-179.6726,59.14,4.4
-35.0332,-179.9678,35,4.4
-29.9627,-177.576,10,4.3
-29.9689,-178.1796,10,4.4
-41.973,174.1557,10,4
-29.4062,-177.1478,45.41,4.8
-29.5117,-177.5703,53.95,4.9
-29.528,-177.3498,43.05,4.7
-29.8322,-177.4492,35,5.1
-29.4836,-177.0774,24.17,5.2
-26.259,179.6203,532.9,4.1
-38.4319,175.8817,173.69,4.6
-42.3199,174.0413,12.89,4.1
-29.9727,-177.4734,38.34,4.3
-33.1642,-178.5524,35,4.2
-33.1954,-179.9213,99.16,4.2
-35.0715,-179.7681,35,4.5
-29.947,-176.2193,10,5
-31.36,-178.2396,35,4.4
-30.1779,-177.3297,10,4.2
-33.9194,-179.0939,20.78,4.6
-35.4087,178.1711,217.72,4
-41.2607,172.7489,115.09,4.4
-31.9278,179.8988,324.01,4.1
-34.786,-179.3848,10,4.3
-35.2048,-179.017,10,4.3
-35.5014,178.5098,160.96,5.1
-32.1888,-178.1794,10,4.5
-34.3669,-179.0218,10,4.9
-34.2818,-178.9056,10,4.6
-27.516,-178.0815,524.09,4.2
-34.5425,-179.0189,10,4.6
-29.0669,178.8063,569.36,4.7
-29.0992,178.77,573.18,4.7
-31.5177,-177.7693,10,4.4
-37.4848,178.8282,42.76,4.9
-30.1542,-177.7181,21.08,4.8
-37.5855,177.4801,89.4,4.5
-37.0691,179.1446,10,4.2
-30.4541,-179.297,185.54,4.2
-30.0842,-177.7387,26.4,4.9
-30.0631,-177.7507,36.9,5.2
-42.2559,173.7881,20.13,4.2
-43.2983,170.8563,2.67,4.4
-43.2818,170.7561,4.75,4.3
-30.5893,-178.078,35.1,4.5
-30.4764,-177.6548,16.38,4.6
-32.9254,-178.6205,10,4.5
-30.2351,-177.7426,24.67,5.1
-32.3442,-179.1569,10,4.5
-25.9292,178.4753,644.68,4.7
-37.2204,176.8995,261.31,4.3
-29.005,-175.8634,10,5.1
-33.7427,-179.6693,35,4.3
-28.0066,-176.7737,10,4.8
-30.1742,-177.7218,22.22,5.5
-27.9497,-177.1064,43.71,4.3
-33.9746,-179.2918,40.4,4.5
-29.5297,-176.2755,10,4.3
-33.6898,-178.601,10,4.5
-29.4368,-178.7164,187.62,4.2
-31.7708,-179.785,292.72,4.3
-34.6136,-178.3428,10,4.3
-30.6524,-178.1425,10,5.4
-31.7176,-178.1987,10,4.5
-37.6718,176.3072,304.99,4.1
-42.3584,173.4763,10,4.4
-33.4122,-178.5587,10,4.8
-30.5888,-178.1118,10,4.4
-32.8504,-179.9764,243.11,4.8
-33.4473,-178.5186,10,4.2
-31.8726,179.921,406.37,4.7
-29.6428,-177.1799,10,4.4
-31.4498,-178.1066,10,4.7
-33.735,-178.4112,10,4.6
-33.3118,-178.2919,10,4.5
-33.3112,-178.0865,10,4.4
-33.6393,-178.6201,10,4.2
-33.2756,-178.2847,10,4.3
-33.1829,-178.214,10,4.4
-33.4661,-178.0656,10,4.3
-33.4606,-178.56,10,4.2
-32.9938,-178.5284,10,4.5
-29.6348,-177.0493,10,4.5
-34.9876,-179.8193,35,4.4
-32.9997,-178.5507,10,4.4
-40.9578,175.5112,29.18,4.3
-32.736,179.8991,275.17,4.2
-30.5086,-176.499,10,4.8
-32.8058,-178.6459,10,4.4
-33.6152,-179.8015,10,4.3
-37.2124,178.7706,42.49,4.7
-26.5429,-177.6242,165.68,4.4
-27.6572,-177.0088,26.33,4.4
-39.9577,176.3481,20.13,4.7
-45.6126,167.2583,14.58,4.3
-28.0835,-176.345,10,4.4
-31.3485,-178.3698,10,4.5
-30.997,-178.1005,35,5.1
-31.3599,-175.8792,14.35,5.1
-43.2851,170.4983,6.61,4.3
-30.6539,-178.0236,10,4.3
-31.2549,-177.463,10,4.2
-35.4681,178.8932,35,4.1
-35.3888,179.0031,10,4.5
-35.4911,178.8217,9.07,4.9
-35.4235,178.8656,10,5.1
-39.0786,177.6829,39.56,4.7
-28.6458,-177.398,53.79,4.3
-33.4456,-179.1453,40.63,4.7
-30.7778,-179.3982,284.75,4.1
-28.4116,-175.8336,10,4.7
-32.1509,-177.2729,10,4.5
-41.6013,174.3211,26.36,4.7
-32.0299,179.9727,332.5,4.4
-40.3396,173.9708,134.56,4.7
-26.5327,178.271,620.93,4.8
-31.0857,-178.9328,10,4.5
-32.1464,-178.4532,13.2,4.7
-30.914,179.391,466.25,4.5
-32.863,-178.8773,10,4.5
-34.4106,178.7517,269.63,4.2
-27.9109,-176.3779,35,4.9
-29.6538,-177.0387,17.92,4.4
-31.9568,-179.7142,367.68,4.1
-38.2138,176.0145,197.25,4.4
-39.9095,173.8287,228.37,4.3
-30.195,-177.6318,10,4.8
-40.5663,175.2509,52.26,4.2
-26.2079,179.0969,532.42,4.5
-43.608,172.714,21.48,3.7
-30.0251,-177.743,41.51,5.8
-35.224,-179.9401,47.3,4.4
-31.3728,-178.4112,46.18,4.6
-29.5939,-177.858,133.2,4.5
-29.7613,-178.385,39.46,4.5
-30.4738,-178.1287,68.22,4.2
-32.7338,-179.9571,10,4.7
-25.9485,179.9387,483.82,4.6
-31.556,-176.7738,10,4.5
-30.5186,-177.8929,66.76,5.2
-30.4021,-177.8502,35,4.6
-42.1365,172.8255,75.72,4.5
-25.5921,179.6393,521.25,4.4
-41.8784,174.0102,23.95,4.2
-30.0692,-178.3811,10,4.3
-30.8557,-179.4329,330.98,4.2
-29.0865,-178.3529,174.95,4.2
-29.208,-178.3583,225.1,4.4
-30.3245,-179.6974,366.54,4.3
-30.716,-177.7464,35,4.4
-36.1346,179.8001,10,4.3
-31.8071,-178.4868,7.29,4.5
-28.7368,-177.8238,142.81,4.6
-32.9108,-179.8401,92.71,4.4
-38.779,175.7845,148.9,4.2
-30.3932,-178.4308,68.85,4.2
-42.5841,173.7718,13.85,4.4
-32.3273,-179.7302,164.99,4.2
-27.8388,-176.3236,10,4.5
-29.4957,-178.5732,203.73,4.6
-30.0153,-177.9262,39.11,4.9
-30.8916,-178.4127,10,4.6
-28.6287,-176.8811,31.56,4.5
-30.2326,-176.9406,10,4.3
-28.6735,-176.712,35,4.6
-28.3665,-177.0783,23.85,4.4
-31.319,-179.0862,176.12,4.8
-30.5548,-178.4924,12,5.9
-35.9428,178.4263,10,4.5
-36.0535,177.8143,10,4.5
-41.4251,173.3866,88.24,4.3
-30.5062,-177.8989,10,4.5
-39.0343,174.7665,195.54,4.5
-32.6192,-178.7233,35,4.6
-27.409,-178.4397,293.42,4.1
-32.7469,-178.771,38,5.8
-31.0448,-178.7345,98.3,5
-27.9974,-177.3606,46.66,5.1
-30.9012,-178.6716,10,4.3
-31.4299,-179.5797,204.5,4.3
-40.0058,174.8498,90.42,4.6
-31.5562,-179.8261,296.37,4.2
-41.201,174.6254,33.75,4.3
-38.0023,177.9592,43.68,4.8
-35.2664,178.8094,187.71,4.8
-36.5756,177.5099,15.91,5.5
-34.4627,179.149,174.32,4.6
-38.8596,174.971,227.87,4.3
-32.4919,-178.3094,10,4.4
-31.2813,-177.8037,10,4.9
-30.3892,-178.3218,10,4.6
-30.3886,-177.9229,10,5.3
-34.1521,-179.4664,55.44,4.4
-29.5161,-178.9055,278.87,4.4
-31.7943,-177.5669,10,4.6
-41.5956,174.3186,18.99,4.3
-40.9854,176.7328,32.77,4.3
-31.7017,-177.7911,10,5.1
-31.356,-177.5126,10,5
-31.4911,-177.5001,10,4.6
-41.2222,174.4551,38.64,4.5
-34.0714,179.5987,96.07,4.6
-30.1528,-179.4232,314.5,4.6
-37.6204,177.3763,9.57,4.2
-39.3496,177.627,17.24,4.2
-31.2777,-178.1534,10,4.3
-39.907,175.1466,27,4
-26.08,179.3004,528.52,4.5
-33.7907,-178.2375,10,4.4
-30.3306,-177.9889,10,4.5
-37.597,177.2759,6.58,5
-30.2118,-179.1441,310.32,4.1
-37.4899,177.3428,10,5
-31.8854,-177.6211,10,4.4
-28.7006,-178.5309,218.97,4
-36.881,179.9549,10,4.2
-38.0611,179.6162,10,4.3
-31.9721,-176.4726,10,4.6
-32.215,-177.7562,10,4.3
-30.3503,-176.1183,10,4.3
-30.1194,-177.411,35,4.1
-42.4041,173.4131,10,5
-30.165,-177.2145,10,4.7
-30.5203,-177.3206,10,5.2
-30.2669,-177.312,10,4.6
-37.3412,178.8086,36.98,4.6
