latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-6.0575,147.7634,170.62,4.2
-15.7539,-173.8576,59.82,4.6
-6.5595,143.2629,10,4.5
-14.1584,166.5733,25.81,4.7
-3.4844,145.5947,10,4.6
-4.8637,153.3243,71.2,4.5
-34.4566,-178.3715,10,4.4
-24.6565,-179.9502,538.92,4.4
-22.3015,171.7904,88.63,4.4
-41.1651,173.5564,88.94,4.6
-5.7623,142.2642,10,4.2
-18.1981,168.5694,96.78,4.4
-33.8515,-179.3723,35,4.5
-3.4427,146.3417,34.92,4.8
-10.3496,161.2283,89.86,5.1
-4.7109,145.2586,64.28,4.4
-46.6436,166.1318,16.15,4.2
-15.135,-172.842,10,4.8
-4.7744,145.5303,96.98,4.3
-6.065,142.3856,10,4.7
-3.4045,145.5243,14.35,4.7
-17.7214,179.6788,22.46,4.7
-7.8543,158.8298,44.32,4.7
-5.4354,150.3882,10,4.6
-6.1139,148.7302,29.62,6
-23.97,179.7822,529.73,4.5
-12.903,167.5855,183.15,4.4
-12.8389,166.7793,142.25,4.5
-6.3305,142.9753,10,4.4
-23.8784,-179.6454,528.34,4.4
-21.238,169.4115,10,4.4
-17.6986,-178.3446,532.51,4.6
-20.5341,-177.6465,420.56,4.3
-6.3924,146.2527,97.91,5
-9.76,160.3134,37.56,4.3
-5.5467,148.3442,88.47,4.4
-14.182,166.156,39.98,4.6
-3.5336,146.3673,40.24,4.5
-10.773,166.3042,154.32,4.3
-23.5457,-179.9944,543.36,4.5
-24.3317,-179.6967,513.29,4.4
-23.8476,-179.7003,542.52,4.7
-11.5936,166.432,37.96,6
-61.368,154.9731,10,5.8
-30.7452,-177.926,24.42,5.2
-20.8806,-178.5838,559.58,4.2
-6.3917,143.1691,10,4.7
-15.5926,-177.8474,399.84,5.2
-6.0231,152.0366,55.51,4.6
-6.5012,143.0226,18.05,4
-22.5809,-174.067,66.19,4.5
-43.5109,172.8252,22.25,3.7
-4.8213,154.9594,512.62,4.2
-22.2443,-179.4659,583.07,4.5
-20.8399,-177.2523,321.61,4.7
-24.0576,-179.7163,512.59,4.4
-17.835,-178.5468,590.3,4.2
-6.3007,142.5076,10,4.1
-13.9892,171.4484,622.24,4.5
-55.3613,-141.7752,10,4.5
-15.0653,-177.1942,371.35,4.2
-13.1731,167.435,174.11,4.4
-17.6069,-178.4997,528.39,4.4
-18.9279,169.0467,167,6.4
-23.7285,-179.9154,538.03,4.4
-21.4684,-174.3294,10,5.2
-5.6158,151.5788,77.41,4.9
-55.2229,-128.6542,10,4.7
-23.337,-179.9115,541.3,5.5
-14.6412,-173.3076,38.91,4.5
-17.2684,-178.7249,564.81,4.3
-19.6642,169.2982,106.76,4.8
-21.0083,-178.5059,550.06,4.7
-23.7515,-179.7297,517.56,4.4
-22.8195,171.4762,12.64,4.6
-15.4927,-173.5627,90.08,4.2
-39.3979,175.4863,84.18,4.9
-18.6435,-177.6735,512.12,4.3
-7.4478,154.4964,10,5.2
-44.0459,170.26,10.15,3.6
-28.9112,-177.7711,76.82,4.7
-4.3678,153.2089,57.53,4.3
-6.2978,153.4276,35,4.5
-33.1295,138.5629,8.55,3.3
