latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-34.4566,-178.3715,10,4.4
-41.1651,173.5564,88.94,4.6
-33.8515,-179.3723,35,4.5
-43.5109,172.8252,22.25,3.7
-39.3979,175.4863,84.18,4.9
-44.0459,170.26,10.15,3.6
-42.5977,173.4346,19.67,4
-38.2111,176.3834,171.18,4.3
-33.2313,178.8546,331.39,4
-31.4426,-179.8124,328.66,4.5
-41.7552,174.3456,16.89,4.6
-33.0286,-178.2531,35,4.3
-33.2991,-178.5335,10,4.4
-33.2273,-178.4276,10,4.9
-40.3776,176.6523,33.25,4.1
-41.6165,174.5125,25.62,4.3
-40.4767,176.9218,10,4.6
-32.6996,-179.8994,236.84,4.9
-39.0612,175.9459,99.07,4.6
-37.8689,177.6709,10,4.7
-31.0114,-178.676,104.55,5.2
-31.6963,-178.5545,10,4.4
-31.4677,-177.9179,12.77,4.3
-32.6975,-178.2844,10,5.3
-32.8173,-178.2393,10,4.7
-34.2581,179.2485,131.76,4.1
-37.2466,179.0155,15.85,4.1
-32.1664,-178.6373,35,4.4
-37.492,177.3721,10,4.3
-41.8138,174.1135,17.22,4.1
-38.1227,176.5914,10,4.3
-34.1833,-179.6997,10,4.4
-31.6382,-179.3752,93.66,4.2
-33.0391,-179.3984,10,5.6
-32.0865,-179.3016,97.8,5.1
-35.8161,178.0083,210.59,4.3
-41.2913,-179.1457,10,4.1
-32.9229,179.3642,317.49,4
-32.3674,-179.0952,124.55,4.9
-31.7847,-178.6169,40.07,4.4
-40.0107,174.4552,120.36,4.3
-33.4777,-177.6325,10,4.3
-32.6625,-178.9905,47.3,4.7
-40.4722,176.422,34.18,4.5
-39.5623,174.3195,206.98,4.5
-35.7547,-179.4641,10,4.5
-30.9566,-179.3968,262.33,4.9
-34.5886,-178.4143,11,6.1
-31.9823,-179.9533,284.39,5.7
-31.8276,-178.6058,35,5.1
-32.6975,-178.608,35,4.5
-33.6291,-178.7292,10,4.5
-33.781,-179.4968,34,5.9
-38.5055,175.9244,167.76,4.5
-32.5415,-178.7127,35,4.6
-31.2468,179.6287,433.04,4
-32.5708,-178.4088,35,4.9
-41.5876,174.5456,10,4.2
-41.6952,174.1739,17.97,4.2
-33.1668,-179.0489,42.43,4.6
-42.3192,173.9413,17.92,4.5
-41.859,174.2397,12.55,4
-41.8193,174.242,17.05,4
-41.7971,174.2496,17.22,4.2
-33.4179,179.757,151.07,4.2
-37.8738,178.9339,29.73,4.6
-34.7563,-179.6726,59.14,4.4
-35.0332,-179.9678,35,4.4
-41.973,174.1557,10,4
-38.4319,175.8817,173.69,4.6
-42.3199,174.0413,12.89,4.1
-33.1642,-178.5524,35,4.2
-33.1954,-179.9213,99.16,4.2
-35.0715,-179.7681,35,4.5
-31.36,-178.2396,35,4.4
-33.9194,-179.0939,20.78,4.6
-35.4087,178.1711,217.72,4
-41.2607,172.7489,115.09,4.4
-31.9278,179.8988,324.01,4.1
-34.786,-179.3848,10,4.3
-35.2048,-179.017,10,4.3
-35.5014,178.5098,160.96,5.1
-32.1888,-178.1794,10,4.5
-34.3669,-179.0218,10,4.9
-34.2818,-178.9056,10,4.6
-34.5425,-179.0189,10,4.6
-31.5177,-177.7693,10,4.4
-37.4848,178.8282,42.76,4.9
-37.5855,177.4801,89.4,4.5
-37.0691,179.1446,10,4.2
-42.2559,173.7881,20.13,4.2
-43.2983,170.8563,2.67,4.4
-43.2818,170.7561,4.75,4.3
-32.9254,-178.6205,10,4.5
-32.3442,-179.1569,10,4.5
-37.2204,176.8995,261.31,4.3
-33.7427,-179.6693,35,4.3
-33.9746,-179.2918,40.4,4.5
-33.6898,-178.601,10,4.5
-31.7708,-179.785,292.72,4.3
-34.6136,-178.3428,10,4.3
-31.7176,-178.1987,10,4.5
-37.6718,176.3072,304.99,4.1
-42.3584,173.4763,10,4.4
-33.4122,-178.5587,10,4.8
-32.8504,-179.9764,243.11,4.8
-33.4473,-178.5186,10,4.2
-31.8726,179.921,406.37,4.7
-31.4498,-178.1066,10,4.7
-33.735,-178.4112,10,4.6
-33.3118,-178.2919,10,4.5
-33.3112,-178.0865,10,4.4
-33.6393,-178.6201,10,4.2
-33.2756,-178.2847,10,4.3
-33.1829,-178.214,10,4.4
-33.4661,-178.0656,10,4.3
-33.4606,-178.56,10,4.2
-32.9938,-178.5284,10,4.5
-34.9876,-179.8193,35,4.4
-32.9997,-178.5507,10,4.4
-40.9578,175.5112,29.18,4.3
-32.736,179.8991,275.17,4.2
-32.8058,-178.6459,10,4.4
-33.6152,-179.8015,10,4.3
-37.2124,178.7706,42.49,4.7
-39.9577,176.3481,20.13,4.7
-31.3485,-178.3698,10,4.5
-43.2851,170.4983,6.61,4.3
-35.4681,178.8932,35,4.1
-35.3888,179.0031,10,4.5
-35.4911,178.8217,9.07,4.9
-35.4235,178.8656,10,5.1
-39.0786,177.6829,39.56,4.7
-33.4456,-179.1453,40.63,4.7
-30.7778,-179.3982,284.75,4.1
-32.1509,-177.2729,10,4.5
-41.6013,174.3211,26.36,4.7
-32.0299,179.9727,332.5,4.4
-40.3396,173.9708,134.56,4.7
-31.0857,-178.9328,10,4.5
-32.1464,-178.4532,13.2,4.7
-30.914,179.391,466.25,4.5
-32.863,-178.8773,10,4.5
-34.4106,178.7517,269.63,4.2
-31.9568,-179.7142,367.68,4.1
-38.2138,176.0145,197.25,4.4
-39.9095,173.8287,228.37,4.3
-40.5663,175.2509,52.26,4.2
-43.608,172.714,21.48,3.7
-35.224,-179.9401,47.3,4.4
-31.3728,-178.4112,46.18,4.6
-32.7338,-179.9571,10,4.7
-42.1365,172.8255,75.72,4.5
-41.8784,174.0102,23.95,4.2
-30.8557,-179.4329,330.98,4.2
-36.1346,179.8001,10,4.3
-31.8071,-178.4868,7.29,4.5
-32.9108,-179.8401,92.71,4.4
-38.779,175.7845,148.9,4.2
-42.5841,173.7718,13.85,4.4
-32.3273,-179.7302,164.99,4.2
-31.319,-179.0862,176.12,4.8
-35.9428,178.4263,10,4.5
-36.0535,177.8143,10,4.5
-41.4251,173.3866,88.24,4.3
-39.0343,174.7665,195.54,4.5
-32.6192,-178.7233,35,4.6
-32.7469,-178.771,38,5.8
-31.0448,-178.7345,98.3,5
-30.9012,-178.6716,10,4.3
-31.4299,-179.5797,204.5,4.3
-40.0058,174.8498,90.42,4.6
-31.5562,-179.8261,296.37,4.2
-41.201,174.6254,33.75,4.3
-38.0023,177.9592,43.68,4.8
-35.2664,178.8094,187.71,4.8
-36.5756,177.5099,15.91,5.5
-34.4627,179.149,174.32,4.6
-38.8596,174.971,227.87,4.3
-32.4919,-178.3094,10,4.4
-31.2813,-177.8037,10,4.9
-34.1521,-179.4664,55.44,4.4
-31.7943,-177.5669,10,4.6
-41.5956,174.3186,18.99,4.3
-40.9854,176.7328,32.77,4.3
-31.7017,-177.7911,10,5.1
-31.4911,-177.5001,10,4.6
-41.2222,174.4551,38.64,4.5
-34.0714,179.5987,96.07,4.6
-37.6204,177.3763,9.57,4.2
-39.3496,177.627,17.24,4.2
-31.2777,-178.1534,10,4.3
-39.907,175.1466,27,4
-33.7907,-178.2375,10,4.4
-37.597,177.2759,6.58,5
-37.4899,177.3428,10,5
-31.8854,-177.6211,10,4.4
-36.881,179.9549,10,4.2
-38.0611,179.6162,10,4.3
-32.215,-177.7562,10,4.3
-42.4041,173.4131,10,5
-37.3412,178.8086,36.98,4.6
-33.2339,-179.3423,35,4.5
-35.8402,-179.8141,10,4.2
-32.1425,-179.8518,190.4,4.3
-33.1165,-179.0859,35,4.6
-39.0736,174.8498,227.04,4.6
-33.3973,179.8306,32.08,4.5
-33.8105,-179.5421,10,4.2
-33.3447,-178.363,35,4.4
-33.1622,-178.659,35,4.4
-32.7793,-178.1864,10,4.7
-32.9122,-178.0374,10,5
-32.9399,-178.8143,10,4.3
-33.1943,-178.9561,10,4.6
-33.1567,-178.3683,10,4.5
-32.9921,-178.2819,10,5.4
-31.5598,-178.0037,31.38,4.7
-33.4572,-178.7621,35,4.4
-31.2973,-177.9634,35.48,4.7
-31.3112,-178.1432,10,5.2
-39.651,175.9309,77.21,4.6
-33.9295,-178.7881,35,4.4
-33.4206,-178.5497,10,4.7
-37.3168,176.5297,358.44,4.2
-41.7622,174.3831,17.98,4.2
-33.0399,-178.2592,35,4.7
-33.7446,-178.9877,35,4.6
-37.1559,178.7721,49.1,5
-33.8431,-178.2315,10,4.4
-34.0828,-178.9628,10,4.4
-34.1477,-178.9754,10,4.5
-34.0499,-178.5949,10,5.1
-33.2928,-178.2841,10,4.5
-37.4081,179.1886,27.84,4.5
-38.4536,178.6725,10,4.4
-38.393,178.628,28.72,4.7
-34.5008,-179.4623,10,4.4
-41.5079,174.341,22.55,4.6
-36.2513,179.4478,47.77,4.7
-31.3189,-178.9906,62.61,4.7
-32.64,-178.547,28.94,4.6
-40.6778,175.9237,35.49,4.5
-37.5284,179.1832,26.21,4.6
-35.4222,179.4885,67.33,4.2
-34.7624,179.0051,147.64,4.1
-37.1309,179.155,9.73,4.2
-38.5708,175.7773,186.75,4.1
-32.9297,-179.2046,58.73,4.9
-35.6026,-178.6636,10,4.5
-35.4879,-179.49,10,4.3
-35.4472,-178.9994,10,4.5
-31.0048,-179.3514,216.47,4.1
-33.0452,-178.5058,35,4.7
-35.4935,-179.2178,10,4
-35.6525,-179.5921,10,4.4
-35.6156,-179.4997,10,5.1
-40.3626,176.1116,41.91,4.4
-38.3508,176.088,147.25,4.1
-40.8847,172.4976,10,4.3
-32.062,-178.7661,48.23,4.4
-31.698,-177.8054,10,4.5
-35.2551,-179.8902,68.06,4.1
-37.4946,179.5933,10,4.4
-36.5269,177.3531,10,4.3
-32.4262,179.7778,372.21,3.9
-31.7402,-178.5357,35,5.1
-38.6237,177.5724,70.48,4.3
-42.416,173.5111,18.23,4.4
-32.9961,-179.1682,11.9,5.3
-35.4082,-179.3767,10,4.4
-35.185,-179.1611,10,4.5
-39.7889,175.142,10,4.1
-31.5072,-179.1908,10,4.4
-35.0784,-179.4151,10,4.4
-34.8685,-179.5602,35,4.4
-35.0285,-178.972,10,4.6
-34.5105,-179.8219,45.35,4.9
-44.3926,167.5075,10,4
-36.0566,178.7455,76.66,4.8
-31.8751,-178.5477,10,4.4
-33.1985,-179.0803,10.44,4.3
-34.9515,-178.3947,10,4.3
-43.1778,170.9088,10,4.3
-31.0905,-179.2032,173.38,4
-31.8093,179.7388,426.24,4.4
-34.6653,-179.7547,62.12,4.2
-31.9248,-179.7411,200.75,4.6
-31.9886,-179.6995,189.3,4
-41.7403,174.2367,15.44,4.3
-41.9236,174.0255,20.59,4.4
-41.1609,175.092,8.63,4
-34.6432,-178.7693,10,4.4
-40.287,173.7595,149.6,4.1
-31.6691,-179.1161,126.11,4.3
-31.398,-178.1654,10,4.9
-45.0021,169.2605,5.46,4.1
-37.7644,179.7031,10,4.3
-31.1253,179.9257,404.82,6
-34.263,-178.668,10,4.3
-41.8411,174.352,20.15,4.1
-37.8525,176.2431,302.87,4.1
-34.5798,179.6132,33.13,4.1
-30.7141,179.6478,457.45,4.2
-31.7872,-177.8787,10,4.3
-32.4266,179.993,240.54,4.3
-36.4327,179.1356,118.84,4.4
-32.7096,-179.7854,96.84,4.4
-31.1225,-179.1371,171.54,4.1
-34.4233,-179.1014,10,4.6
-31.9277,-178.6694,39.29,4.4
-33.8332,-179.9446,10,4.6
-32.3605,-178.2586,10,4.3
-40.6655,175.8139,39.08,4
-33.9253,179.3825,206.1,4.3
-34.0545,-178.5729,10,4.6
-33.9368,-178.3224,10,4.5
-32.4604,179.5845,387.3,4.3
-33.4531,-178.2909,10,4.5
-31.4232,-177.8234,10,4.3
-42.2352,173.7514,18.06,4.3
-33.2561,-178.7519,10,4.5
-36.3331,177.9421,124.67,4.3
-33.2327,-178.5658,10,4.4
-32.6726,179.7607,190.53,4
-33.9432,-178.7389,78.98,4.6
