latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-39.3979,175.4863,84.18,4.9
-38.2111,176.3834,171.18,4.3
-40.3776,176.6523,33.25,4.1
-39.0612,175.9459,99.07,4.6
-37.8689,177.6709,10,4.7
-37.492,177.3721,10,4.3
-38.1227,176.5914,10,4.3
-40.0107,174.4552,120.36,4.3
-40.4722,176.422,34.18,4.5
-39.5623,174.3195,206.98,4.5
-38.5055,175.9244,167.76,4.5
-38.4319,175.8817,173.69,4.6
-37.5855,177.4801,89.4,4.5
-37.2204,176.8995,261.31,4.3
-37.6718,176.3072,304.99,4.1
-39.9577,176.3481,20.13,4.7
-39.0786,177.6829,39.56,4.7
-38.2138,176.0145,197.25,4.4
-38.779,175.7845,148.9,4.2
-39.0343,174.7665,195.54,4.5
-40.0058,174.8498,90.42,4.6
-38.0023,177.9592,43.68,4.8
-38.8596,174.971,227.87,4.3
-37.6204,177.3763,9.57,4.2
-39.3496,177.627,17.24,4.2
-39.907,175.1466,27,4
-37.597,177.2759,6.58,5
-37.4899,177.3428,10,5
-39.0736,174.8498,227.04,4.6
-39.651,175.9309,77.21,4.6
-37.3168,176.5297,358.44,4.2
-38.5708,175.7773,186.75,4.1
-40.3626,176.1116,41.91,4.4
-38.3508,176.088,147.25,4.1
-38.6237,177.5724,70.48,4.3
-39.7889,175.142,10,4.1
-37.8525,176.2431,302.87,4.1
-37.7306,177.7661,49.82,4.9
-39.3253,177.2438,25.59,4.4
-37.6881,176.4491,198.61,4.2
-38.7058,177.9278,28.87,5
-38.5545,175.9387,177.98,4.1
-39.9176,176.8417,11.94,4.2
-39.1484,174.8761,227.61,4.2
-38.7973,175.7034,4.62,4.6
-40.0853,174.9935,28.24,4.3
-39.0114,177.6232,19.4,4.2
-40.3074,176.4076,42.79,4.2
-37.835,177.5991,47.47,4.8
-39.4816,177.4404,18.24,4.5
-38.1425,178.0517,69.28,4.4
-38.0332,177.7831,63.52,4.9
-37.9523,177.7879,63.51,5
-38.4062,176.2327,190.08,4
-38.5799,175.9164,187.05,4.5
-37.8907,177.6819,53.2,4.9
-38.9294,177.5692,62.42,4.4
-38.4861,176.0231,169.41,4.1
-38.3492,175.8746,169.6,4.6
-37.943,176.3498,245.56,4.4
-38.8379,177.5437,15.51,4.6
-38.8829,177.6232,18.55,5
-37.6572,176.3489,190,4.7
-39.5839,174.7442,122.59,4
-37.412,176.9526,187.02,4.7
-37.8456,177.6513,49.43,4.5
-39.6471,176.309,39.57,4.4
-38.9338,175.7713,105.52,4.5
-38.68,175.82,103,4.4
-40.3063,176.9763,30.23,4.2
-38.6379,176.7938,46.82,4.5
-39.5766,176.943,8.17,4.4
-38.6363,176.5955,112.76,4.9
-39.32,175.75,70,4.4
-37.3383,177.3698,151.07,5.1
-40.2999,176.3748,31.06,4.4
-37.6392,177.7779,113.35,4.2
-38.8319,176.3535,86.17,4.3
-39.3702,174.7621,174.67,4.4
-37.7835,177.3026,137,4.8
-37.4318,177.3482,10,4.3
-38.3708,178.0931,36.52,4.2
-40.1356,174.7909,14.21,4.3
-38.5982,175.36,289,4.2
-40.2316,174.8863,55.91,4.4
-39.7833,174.7162,155.91,4.1
-38.1799,176.356,153.99,4.5
-38.316,177.4696,98.09,4.7
-39.2921,177.4701,26.44,4.5
-38.9789,176.2182,90.96,4.5
-39.4005,175.9498,55.35,5.3
-38.4538,178.2557,10.76,4.8
-38.2664,176.1333,181.22,5
-40.3041,176.3972,45.41,4.6
-38.1751,176.4838,168.79,4.3
-40.4643,176.516,54.21,4.4
-38.1384,176.3441,150.25,4.2
-40.0592,176.7101,41.1,4
-37.9887,176.569,135.85,4.2
-39.7533,174.8964,97.51,4.2
-37.87,176.38,172,4.7
-38.7607,175.0753,251.97,4.3
-37.4063,177.5022,15.65,4.4
-38.39,178.03,29,4
-38.8212,177.9955,4.92,4.3
-38.7845,176.0855,122.4,4.3
-38.7271,176.1609,155.33,4.1
-40.5309,176.3026,40.71,4.8
-37.4968,176.4969,230.68,4.2
-38.3685,178.0517,34.62,5.1
-38.84,175.93,105,4.5
-38,177.76,77,4.8
-37.76,175.71,6,3.9
-37.0479,176.7023,294.06,4.4
-40.3661,176.7687,8.809,3.9
-40.4242,176.8101,12.005,4.4
-38.5632,176.4434,123.16,5.1
-39.0302,178.2726,16.55,4.3
-40.5096,175.9376,29.79,5.2
-38.53,175.8,194,4.5
-38.9456,175.079,225.86,4.5
-37.69,176.22,289,4.2
-37.2664,176.7361,225.547,4.1
-40.2454,174.8835,70.38,4.6
-37.5168,177.5315,103.17,4.3
-37.6493,176.2868,314.63,4.2
-37.742,176.871,161.8,4.4
-37.74,176.86,163,4.6
-39.46,175.26,106,4.9
-37.53,176.41,229,4.4
-40.31,176.59,17,4.5
-38.454,176.7953,59.49,4.1
-37.9776,176.2533,202.11,4.1
-37.11,176.65,352,4.4
-39.9692,176.5385,13.496,4.6
-39.8815,176.3825,10,4.4
-39.9703,176.5519,17.305,5.1
-38.0548,175.8311,311.61,3.7
