latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-15.7539,-173.8576,59.82,4.6
-14.1584,166.5733,25.81,4.7
-34.4566,-178.3715,10,4.4
-24.6565,-179.9502,538.92,4.4
-22.3015,171.7904,88.63,4.4
-41.1651,173.5564,88.94,4.6
-18.1981,168.5694,96.78,4.4
-33.8515,-179.3723,35,4.5
-46.6436,166.1318,16.15,4.2
-15.135,-172.842,10,4.8
-17.7214,179.6788,22.46,4.7
-23.97,179.7822,529.73,4.5
-12.903,167.5855,183.15,4.4
-23.8784,-179.6454,528.34,4.4
-21.238,169.4115,10,4.4
-17.6986,-178.3446,532.51,4.6
-20.5341,-177.6465,420.56,4.3
-14.182,166.156,39.98,4.6
-23.5457,-179.9944,543.36,4.5
-24.3317,-179.6967,513.29,4.4
-23.8476,-179.7003,542.52,4.7
-61.368,154.9731,10,5.8
-30.7452,-177.926,24.42,5.2
-20.8806,-178.5838,559.58,4.2
-15.5926,-177.8474,399.84,5.2
-22.5809,-174.067,66.19,4.5
-43.5109,172.8252,22.25,3.7
-22.2443,-179.4659,583.07,4.5
-20.8399,-177.2523,321.61,4.7
-24.0576,-179.7163,512.59,4.4
-17.835,-178.5468,590.3,4.2
-13.9892,171.4484,622.24,4.5
-15.0653,-177.1942,371.35,4.2
-13.1731,167.435,174.11,4.4
-17.6069,-178.4997,528.39,4.4
-18.9279,169.0467,167,6.4
-23.7285,-179.9154,538.03,4.4
-21.4684,-174.3294,10,5.2
-23.337,-179.9115,541.3,5.5
-14.6412,-173.3076,38.91,4.5
-17.2684,-178.7249,564.81,4.3
-19.6642,169.2982,106.76,4.8
-21.0083,-178.5059,550.06,4.7
-23.7515,-179.7297,517.56,4.4
-22.8195,171.4762,12.64,4.6
-15.4927,-173.5627,90.08,4.2
-39.3979,175.4863,84.18,4.9
-18.6435,-177.6735,512.12,4.3
-44.0459,170.26,10.15,3.6
-28.9112,-177.7711,76.82,4.7
-42.5977,173.4346,19.67,4
-19.0182,169.4901,255,5.5
-16.8462,-177.1745,390.73,4.3
-30.1191,-178.0163,48,4.5
-19.3927,-177.3747,563.43,4.2
-20.1287,169.3074,10,4.7
-38.2111,176.3834,171.18,4.3
-25.1488,179.6548,523.36,4.5
-21.2766,168.4961,10,5.5
-30.5662,-178.0701,35,6
-15.3636,-173.3967,10,4.8
-23.6622,-179.9722,551.58,4.2
-20.6099,-173.813,10,4.9
-18.5712,169.8591,213.9,4.3
-20.5278,169.7561,92.59,4.5
-21.6092,-177.745,370.65,4.3
-33.2313,178.8546,331.39,4
-29.186,-178.3694,13.12,4.6
-21.8523,-178.079,394.41,4.1
-18.9135,-177.7467,403.11,4.3
-19.7134,-174.9535,122.71,4.5
-30.2566,-177.8405,38.87,5.1
-14.9674,167.3717,113,5.5
-24.5512,-177.2448,93.22,4.5
-20.3958,-173.4667,10,5
-20.1371,-176.2449,248.12,4.5
