latitude,longitude,depth,mag
-39.4322,176.0322,47.62,4.4
-41.1651,173.5564,88.94,4.6
-39.3979,175.4863,84.18,4.9
-42.5977,173.4346,19.67,4
-38.2111,176.3834,171.18,4.3
-41.7552,174.3456,16.89,4.6
-40.3776,176.6523,33.25,4.1
-41.6165,174.5125,25.62,4.3
-40.4767,176.9218,10,4.6
-39.0612,175.9459,99.07,4.6
-37.8689,177.6709,10,4.7
-37.2466,179.0155,15.85,4.1
-37.492,177.3721,10,4.3
-41.8138,174.1135,17.22,4.1
-38.1227,176.5914,10,4.3
-35.8161,178.0083,210.59,4.3
-41.2913,-179.1457,10,4.1
-40.0107,174.4552,120.36,4.3
-40.4722,176.422,34.18,4.5
-39.5623,174.3195,206.98,4.5
-38.5055,175.9244,167.76,4.5
-41.5876,174.5456,10,4.2
-41.6952,174.1739,17.97,4.2
-42.3192,173.9413,17.92,4.5
-41.859,174.2397,12.55,4
-41.8193,174.242,17.05,4
-41.7971,174.2496,17.22,4.2
-37.8738,178.9339,29.73,4.6
-41.973,174.1557,10,4
-38.4319,175.8817,173.69,4.6
-42.3199,174.0413,12.89,4.1
-35.4087,178.1711,217.72,4
-41.2607,172.7489,115.09,4.4
-35.5014,178.5098,160.96,5.1
-37.4848,178.8282,42.76,4.9
-37.5855,177.4801,89.4,4.5
-37.0691,179.1446,10,4.2
-42.2559,173.7881,20.13,4.2
-37.2204,176.8995,261.31,4.3
-37.6718,176.3072,304.99,4.1
-42.3584,173.4763,10,4.4
-40.9578,175.5112,29.18,4.3
-37.2124,178.7706,42.49,4.7
-39.9577,176.3481,20.13,4.7
-35.4681,178.8932,35,4.1
-35.3888,179.0031,10,4.5
-35.4911,178.8217,9.07,4.9
-35.4235,178.8656,10,5.1
-39.0786,177.6829,39.56,4.7
-41.6013,174.3211,26.36,4.7
-40.3396,173.9708,134.56,4.7
-38.2138,176.0145,197.25,4.4
-39.9095,173.8287,228.37,4.3
-40.5663,175.2509,52.26,4.2
-42.1365,172.8255,75.72,4.5
-41.8784,174.0102,23.95,4.2
-36.1346,179.8001,10,4.3
-38.779,175.7845,148.9,4.2
-42.5841,173.7718,13.85,4.4
-35.9428,178.4263,10,4.5
-36.0535,177.8143,10,4.5
-41.4251,173.3866,88.24,4.3
-39.0343,174.7665,195.54,4.5
-40.0058,174.8498,90.42,4.6
-41.201,174.6254,33.75,4.3
-38.0023,177.9592,43.68,4.8
-35.2664,178.8094,187.71,4.8
-36.5756,177.5099,15.91,5.5
-38.8596,174.971,227.87,4.3
-41.5956,174.3186,18.99,4.3
-40.9854,176.7328,32.77,4.3
-41.2222,174.4551,38.64,4.5
-37.6204,177.3763,9.57,4.2
-39.3496,177.627,17.24,4.2
-39.907,175.1466,27,4
-37.597,177.2759,6.58,5
-37.4899,177.3428,10,5
-36.881,179.9549,10,4.2
-38.0611,179.6162,10,4.3
-42.4041,173.4131,10,5
-37.3412,178.8086,36.98,4.6
-35.8402,-179.8141,10,4.2
-39.0736,174.8498,227.04,4.6
-39.651,175.9309,77.21,4.6
-37.3168,176.5297,358.44,4.2
-41.7622,174.3831,17.98,4.2
-37.1559,178.7721,49.1,5
-37.4081,179.1886,27.84,4.5
-38.4536,178.6725,10,4.4
-38.393,178.628,28.72,4.7
-41.5079,174.341,22.55,4.6
-36.2513,179.4478,47.77,4.7
-40.6778,175.9237,35.49,4.5
-37.5284,179.1832,26.21,4.6
-35.4222,179.4885,67.33,4.2
-37.1309,179.155,9.73,4.2
-38.5708,175.7773,186.75,4.1
-40.3626,176.1116,41.91,4.4
-38.3508,176.088,147.25,4.1
-40.8847,172.4976,10,4.3
-37.4946,179.5933,10,4.4
-36.5269,177.3531,10,4.3
-38.6237,177.5724,70.48,4.3
-42.416,173.5111,18.23,4.4
-39.7889,175.142,10,4.1
-36.0566,178.7455,76.66,4.8
-41.7403,174.2367,15.44,4.3
-41.9236,174.0255,20.59,4.4
-41.1609,175.092,8.63,4
-40.287,173.7595,149.6,4.1
-37.7644,179.7031,10,4.3
-41.8411,174.352,20.15,4.1
-37.8525,176.2431,302.87,4.1
-36.4327,179.1356,118.84,4.4
-40.6655,175.8139,39.08,4
-42.2352,173.7514,18.06,4.3
-36.3331,177.9421,124.67,4.3
-37.3306,177.7657,73.6,4.3
-37.3958,179.11,60,4.8
-37.7306,177.7661,49.82,4.9
-41.4292,173.8893,49.92,4.2
-37.507,177.7768,149.47,4.6
-39.3253,177.2438,25.59,4.4
-35.4221,178.9369,227.12,4.4
-37.6881,176.4491,198.61,4.2
-41.6242,173.1277,12.17,4.1
-38.7058,177.9278,28.87,5
-38.5545,175.9387,177.98,4.1
-39.9176,176.8417,11.94,4.2
-41.4694,174.4792,21.52,4.2
-41.7141,175.4021,15.55,4.2
-39.1484,174.8761,227.61,4.2
-42.0211,173.9585,15.98,4.5
-41.7246,174.2366,13.86,4.7
-37.1968,178.8783,37.98,4.3
-42.1699,173.6949,15.28,4
-38.7973,175.7034,4.62,4.6
-40.0853,174.9935,28.24,4.3
-40.9645,174.8547,59.52,4.4
-37.7778,179.721,10,4.7
-41.7796,174.3181,16.41,4.1
-42.2944,173.8545,20.97,4.2
-39.0114,177.6232,19.4,4.2
-40.3074,176.4076,42.79,4.2
-37.835,177.5991,47.47,4.8
-42.156,172.8146,48.29,4.4
-42.4741,173.5847,26.64,4.2
-37.4428,177.7198,54.23,4.9
-37.5236,179.2126,21.03,5.1
-41.8236,174.1904,18.86,4.3
-39.4816,177.4404,18.24,4.5
-42.4692,173.9453,10,4.2
-36.8643,179.0253,9.45,4.4
-37.1369,177.75,198.78,4.3
-37.6405,179.0108,11.37,5.1
-38.1425,178.0517,69.28,4.4
-37.1157,178.8841,21.27,4.3
-41.6501,174.5898,43.19,4.5
-37.391,178.5548,38.79,5
-40.3223,174.434,94.55,4.2
-38.0332,177.7831,63.52,4.9
-42.3715,173.8741,22.32,4.9
-41.7309,174.5019,18.39,4.2
-36.8859,179.0865,4.65,4.2
-35.6153,179.5802,45.03,4.7
-41.6705,174.3078,16.11,4.4
-37.9523,177.7879,63.51,5
-42.2813,173.6266,15.67,4.1
-42.1163,173.0596,50.76,4.4
-41.6413,174.3018,17.5,4.2
-41.7393,174.2709,16.94,4.3
-38.4062,176.2327,190.08,4
-38.5799,175.9164,187.05,4.5
-42.033,173.7983,9.01,4.1
-42.4458,173.9407,6.66,4.5
-37.2955,179.061,10,4.5
-42.6652,173.4498,10,4.2
-37.8907,177.6819,53.2,4.9
-41.6848,174.3325,18.39,4.3
-41.8341,174.0614,17.04,5.4
-42.3209,173.6322,10.61,4
-40.7475,176.3231,27.44,4.1
-38.9294,177.5692,62.42,4.4
-42.4461,173.6237,24.13,4.4
-41.6205,174.4581,19.48,4.3
-36.6727,-179.2061,10,4.2
-41.6172,174.4661,18.95,4.4
-38.4861,176.0231,169.41,4.1
-41.6329,174.4604,25.37,4.4
-41.7011,174.5567,17.88,5.3
-42.4432,173.655,14.47,4.3
-42.4206,173.7919,16.59,4.4
-42.4808,173.8384,12.52,4.5
-41.6859,174.2676,20.09,4.5
-41.8201,174.3937,23.36,4.3
-38.3492,175.8746,169.6,4.6
-41.8005,174.1035,18.82,4.2
-37.2562,179.4104,27.92,4.3
-42.5104,173.9139,10,4.2
-42.2424,173.7307,17.75,4.1
-42.1606,173.6246,18.12,4.3
-37.943,176.3498,245.56,4.4
-42.39,173.86,24,4.2
-37.4927,179.9186,10,4.5
-41.8276,174.2328,22.86,4.4
-40.6771,175.5565,41.4,4.2
-37.0369,179.2615,10,4
-36.9794,179.1145,10,4.8
-37.2207,179.7108,30.54,4.4
-42.1483,173.6396,10.125,4.1
-42.475,173.5309,16.81,4.4
-42.3257,173.806,18.28,4.3
-41.7858,174.2629,15.16,4.4
-42.0135,173.9575,21.22,4.1
-42.0085,173.761,22.28,4.3
-42.1798,173.736,17.42,4.2
-41.7098,174.2006,17.52,5.3
-38.8379,177.5437,15.51,4.6
-41.7626,174.3191,18.56,4.1
-36.8748,177.9065,100.06,4.2
-42.3562,173.9291,12.03,4.1
-41.7688,174.4129,14.83,4
-42.2946,173.8456,18.62,4.3
-42.1404,173.8476,14.04,4.2
-41.8023,174.2767,10,4.8
-40.9012,174.6584,54.46,4.3
-37.0048,178.9921,10,5.1
-38.8829,177.6232,18.55,5
-41.5012,174.4968,27.51,4.2
-42.4286,173.6415,13.83,4.3
-42.2459,173.6255,19.4,4.1
-41.7574,174.2852,17.59,4.2
-41.7251,174.2675,19.18,4.4
-37.0704,177.0198,203.65,5.1
-41.6293,174.4778,21.57,4.4
-41.7814,174.1591,13.07,4.5
-42.2374,173.5665,10.88,4.4
-40.602,177.0387,9.08,5.9
-40.5077,177.1053,23.58,4.3
-42.5841,174.0781,21.82,4.1
-37.6572,176.3489,190,4.7
-42.1922,173.6771,21.8,4.7
-42.5507,173.2454,10,4.2
-41.7946,174.1964,13.04,3.9
-42.5282,173.7483,1.58,4.2
-41.9554,174.0568,18.07,4.2
-41.7517,174.3276,21.28,4
